1	Yr	1,1	y | y	Rha | YFB	Rhaperth | YFB	
117	ddinas	31,16	dinas	E	Ebu	+sm
118	ail-balmantu	31,17	ail-balmantu	unk	unk	
119	ei	31,18	ei	Rha	Rhadib3bu	
120	stryd	31,19	stryd	E	Ebu	
121	.	31,20	.	Atd	Atdt	
122	Roedd	32,1	bod	B	Bamherff3u	
123	sw	32,2	sw	unk	unk	
124	+	32,3	+	Gw	Gwsym	
125	n	32,4	n	Gw	Gwllyth	
126	y	32,5	y	YFB	YFB	
127	peiriannau	32,6	peiriant	E	Egll	
128	dan	32,7	dan	Ar	Arsym	
129	ei	32,8	ei	Rha	Rhadib3bu	
130	ffenestri	32,9	ffenestr	E	Ebll	
131	yn	32,10	yn	U	Utra	
132	ofnadwy	32,11	ofnadwy	Ans	Anscadu	
133	,	32,12	,	Atd	Atdcan	
134	a	32,13	a	Cys	Cyscyd	
135	'r	32,14	y	YFB	YFB	
136	llwch	32,15	llwch	E	Egu	
137	yn	32,16	yn	U	Uberf	
138	dod	32,17	dod	B	Be	
139	i	32,18	i	Rha	Rhapers1u	
140	mewn	32,19	mewn	Ar	Arsym	
141	ac	32,20	a	Cys	Cyscyd	
142	yn	32,21	yn	U	Uberf	
143	setlo	32,22	setlo	B	Be	
144	ym	32,23	yn	Ar	Arsym	
145	mhobman	32,24	man	Adf	Adf	+nm
146	.	32,25	.	Atd	Atdt	
147	Dyn	33,1	dyn | bod	E | B	Egu | Bpres3ll	
148	twt	33,2	twt	Ans	Anscadu	
149	a	33,3	a	Cys	Cyscyd	
150	thaclus	33,4	taclus	Ans	Anscadu	+am
151	ydy	33,5	bod	B	Bpres3u	
152	M.	33,6	m.	Gw	Gwllyth	
153	Poirot	33,7	Poirot	E	Ep	
154	,	33,8	,	Atd	Atdcan	
155	fel	33,9	fel	Cys	Cyscyd	
156	mae	33,10	bod	B	Bpres3u	
157	pawb	33,11	pawb	unk	unk	
158	yn	33,12	yn	U	Uberf	
159	gwybod	33,13	gwybod	B	Be	
160	,	33,14	,	Atd	Atdcan	
161	ac	33,15	a	Cys	Cyscyd	
162	yn	33,16	yn	U	Uberf	
163	casáu	33,17	casáu	B	Be	
164	anrhefn	33,18	anrhefn	unk	unk	
165	a	33,19	a	Cys	Cyscyd	
166	sw	33,20	sw	unk	unk	
167	+	33,21	+	Gw	Gwsym	
168	n	33,22	n	Gw	Gwllyth	
169	a	33,23	a	Cys	Cyscyd	
170	llwch	33,24	llwch	E	Egu	
171	yn	33,25	yn	Ar	Arsym	
172	anad	33,26	anad	Ar	Arsym	
173	dim	33,27	dim	E	Egu	
174	.	33,28	.	Atd	Atdt	
175	Yn	34,1	yn	U	Uberf	
176	dilyn	34,2	dilyn	B	Be	
177	cyngor	34,3	cyngor	E	Egu	
178	ei	34,4	ei	Rha	Rhadib3bu	
179	ffrind	34,5	ffrind	E	Egu	
180	Colonel	34,6	Colonel	E	Ep	
181	Hastings	34,7	Hastings	E	Ep	
182	,	34,8	,	Atd	Atdcan	
183	felly	34,9	felly	Adf	Adf	
184	,	34,10	,	Atd	Atdcan	
185	aeth	34,11	mynd	B	Bgorff3u	
186	M.	34,12	m.	Gw	Gwllyth	
187	Poirot	34,13	Poirot	E	Ep	
188	i	34,14	i	Ar	Arsym	
189	Gymru	34,15	Cymru	E	Epb	+sm
190	,	34,16	,	Atd	Atdcan	
191	i	34,17	i	Ar	Arsym	
192	dreulio	34,18	treulio	B	Be	+sm
193	pythefnos	34,19	pythefnos	E	Egbu	
194	yn	34,20	yn	U	Utra	
195	yr	34,21	y	YFB	YFB	
196	awyr	34,22	awyr	E	Ebu	
197	iach	34,23	iach	Ans	Anscadu	
198	,	34,24	,	Atd	Atdcan	
199	ymhell	34,25	ymhell	Adf	Adf	
200	o	34,26	o	Ar	Arsym	
201	sw	34,27	sw	unk	unk	
202	+	34,28	+	Gw	Gwsym	
203	n	34,29	n	Gw	Gwllyth	
204	a	34,30	a	Cys	Cyscyd	
205	mwg	34,31	mwg	E	Egu	
206	y	34,32	y	YFB	YFB	
207	ddinas	34,33	dinas	E	Ebu	+sm
208	fawr	34,34	mawr	Ans	Anscadu	+sm
209	.	34,35	.	Atd	Atdt	
210	Cyn	35,1	cyn	Ar	Arsym	
211	hir	35,2	hir	Ans	Anscadu	
212	roedd	35,3	bod	B	Bamherff3u	
213	Poirot	35,4	Poirot	E	Ep	
214	ymysg	35,5	ymysg	Ar	Arsym	
215	y	35,6	y	YFB	YFB	
216	mynyddoedd	35,7	mynydd	E	Egll	
217	Cymreig	35,8	Cymreig	Ans	Anscadu	
218	,	35,9	,	Atd	Atdcan	
219	yn	35,10	yn	U	Uberf	
220	aros	35,11	aros	B	Be	
221	mewn	35,12	mewn	Ar	Arsym	
222	Gwely	35,13	gwely	E	Egu	
223	a	35,14	a	Cys	Cyscyd	
224	Brecwast	35,15	brecwast	E	Egbu	
225	mewn	35,16	mewn	Ar	Arsym	
226	pentref	35,17	pentref	E	Egu	
227	gwledig	35,18	gwledig	Ans	Anscadu	
228	yng	35,19	yn	Ar	Arsym	
229	nghysgod	35,20	cysgod	E	Egu	+nm
230	yr	35,21	y	YFB	YFB	
231	Wyddfa	35,22	Wyddfa	E	Epb	
232	.	35,23	.	Atd	Atdt
